sitio,cultivo,protec,trt,bq,g,hum,m2,kg_ha,crop_trt,prod,prod_compact
Tandil,cebada,semilla,2,1,,,,3057,C2,VIBRANCE_INTEGRAL,VIBR
Tandil,cebada,semilla,2,2,,,,4600,C2,VIBRANCE_INTEGRAL,VIBR
Tandil,cebada,semilla,2,3,,,,5286,C2,VIBRANCE_INTEGRAL,VIBR
Tandil,cebada,semilla,3,1,,,,2929,C3,SISTIVA_PREMIS,SIST
Tandil,cebada,semilla,3,2,,,,5614,C3,SISTIVA_PREMIS,SIST
Tandil,cebada,semilla,3,3,,,,5671,C3,SISTIVA_PREMIS,SIST
Tandil,cebada,semilla,4,1,,,,4386,C4,RANCONA_TRIO_400,RANCO
Tandil,cebada,semilla,4,2,,,,2129,C4,RANCONA_TRIO_400,RANCO
Tandil,cebada,semilla,4,3,,,,4886,C4,RANCONA_TRIO_400,RANCO
Tandil,cebada,semilla,5,1,,,,4643,C5,RIZODERMA_SX,RIZO_SX
Tandil,cebada,semilla,5,2,,,,3100,C5,RIZODERMA_SX,RIZO_SX
Tandil,cebada,semilla,5,3,,,,4100,C5,RIZODERMA_SX,RIZO_SX
Tandil,cebada,semilla,6,1,,,,4186,C6,RIZODERMA_SX + VITAGROW + STZN,RSX+VTG+STZN
Tandil,cebada,semilla,6,2,,,,4800,C6,RIZODERMA_SX + VITAGROW + STZN,RSX+VTG+STZN
Tandil,cebada,semilla,6,3,,,,4386,C6,RIZODERMA_SX + VITAGROW + STZN,RSX+VTG+STZN
Tandil,cebada,semilla,7,1,,,,4114,C7,CURACYT,CURACYT
Tandil,cebada,semilla,7,2,,,,2500,C7,CURACYT,CURACYT
Tandil,cebada,semilla,7,3,,,,3400,C7,CURACYT,CURACYT
Tandil,cebada,semilla,8,1,,,,5557,C8,SISTIVA_PREMIS_2X,SIST2X
Tandil,cebada,semilla,8,2,,,,3971,C8,SISTIVA_PREMIS_2X,SIST2X
Tandil,cebada,semilla,8,3,,,,2871,C8,SISTIVA_PREMIS_2X,SIST2X
Tandil,cebada,semilla,9,1,,,,5057,C9,CHECK,CHECK
Tandil,cebada,semilla,9,2,,,,5443,C9,CHECK,CHECK
Tandil,cebada,semilla,9,3,,,,2629,C9,CHECK,CHECK
Tandil,trigo,semilla,1,1,,,,1643,T1,SISTIVA_PREMIS + ALZ_12051,SIST+ALZ
Tandil,trigo,semilla,1,2,,,,3186,T1,SISTIVA_PREMIS + ALZ_12051,SIST+ALZ
Tandil,trigo,semilla,1,3,,,,4414,T1,SISTIVA_PREMIS + ALZ_12051,SIST+ALZ
Tandil,trigo,semilla,2,1,,,,2057,T2,VIBRANCE_INTEGRAL,VIBR
Tandil,trigo,semilla,2,2,,,,3857,T2,VIBRANCE_INTEGRAL,VIBR
Tandil,trigo,semilla,2,3,,,,4443,T2,VIBRANCE_INTEGRAL,VIBR
Tandil,trigo,semilla,3,1,,,,1957,T3,SISTIVA_PREMIS,SIST
Tandil,trigo,semilla,3,2,,,,4943,T3,SISTIVA_PREMIS,SIST
Tandil,trigo,semilla,3,3,,,,4400,T3,SISTIVA_PREMIS,SIST
Tandil,trigo,semilla,4,1,,,,4300,T4,RANCONA_TRIO_300,RANCO
Tandil,trigo,semilla,4,2,,,,1600,T4,RANCONA_TRIO_300,RANCO
Tandil,trigo,semilla,4,3,,,,4071,T4,RANCONA_TRIO_300,RANCO
Tandil,trigo,semilla,5,1,,,,4229,T5,RIZODERMA,RIZO
Tandil,trigo,semilla,5,2,,,,2500,T5,RIZODERMA,RIZO
Tandil,trigo,semilla,5,3,,,,3614,T5,RIZODERMA,RIZO
Tandil,trigo,semilla,6,1,,,,4057,T6,RIZODERMA + VITAGROW + STZN,RIZO+VTG+STZN
Tandil,trigo,semilla,6,2,,,,4029,T6,RIZODERMA + VITAGROW + STZN,RIZO+VTG+STZN
Tandil,trigo,semilla,6,3,,,,4129,T6,RIZODERMA + VITAGROW + STZN,RIZO+VTG+STZN
Tandil,trigo,semilla,7,1,,,,4543,T7,CURACYT,CURACYT
Tandil,trigo,semilla,7,2,,,,1857,T7,CURACYT,CURACYT
Tandil,trigo,semilla,7,3,,,,2714,T7,CURACYT,CURACYT
Tandil,trigo,semilla,8,1,,,,5529,T8,SISTIVA_PREMIS + ALLTEC_ZN,SIST+Zn
Tandil,trigo,semilla,8,2,,,,3629,T8,SISTIVA_PREMIS + ALLTEC_ZN,SIST+Zn
Tandil,trigo,semilla,8,3,,,,2143,T8,SISTIVA_PREMIS + ALLTEC_ZN,SIST+Zn
Tandil,trigo,semilla,9,1,,,,4614,T9,CHECK,CHECK
Tandil,trigo,semilla,9,2,,,,4171,T9,CHECK,CHECK
Tandil,trigo,semilla,9,3,,,,1371,T9,CHECK,CHECK
