sitio,cultivo,prod,bq,kg_ha,inc,sev
MDP,trigo,Check,2,2946.73311184939,,
MDP,trigo,Check,3,3494.90586932447,,
MDP,trigo,Fidresa_900 @Z32_Z39,1,4441.63898117387,,
MDP,trigo,Fidresa_900 @Z32_Z39,2,3938.63049095607,,
MDP,trigo,Fidresa_900 @Z32_Z39,3,3724.76005906238,,
MDP,trigo,Cripton_600 @Z32 / Cripton_Xpro_600 @Z39,1,4988.74123292728,,
MDP,trigo,Cripton_600 @Z32 / Cripton_Xpro_600 @Z39,2,4016.08527131783,,
MDP,trigo,Cripton_600 @Z32 / Cripton_Xpro_600 @Z39,3,4506.45994832041,,
MDP,trigo,Custodia_T_800 @Z32 / Coverfull_Ace_500 @Z39,1,4081.03543743079,,
MDP,trigo,Custodia_T_800 @Z32 / Coverfull_Ace_500 @Z39,2,4251.07973421927,,
MDP,trigo,Custodia_T_800 @Z32 / Coverfull_Ace_500 @Z39,3,4928.1469176818,,
MDP,trigo,Goldleaf_2000 @Z32_Z39,1,4383.33333333333,,
MDP,trigo,Goldleaf_2000 @Z32_Z39,2,4306.47840531561,,
MDP,trigo,Goldleaf_2000 @Z32_Z39,3,3796.8530823182,,
MDP,trigo,Allegro_1000 @Z32 / Orquesta_1200 @Z39,1,4186.34182355113,,
MDP,trigo,Allegro_1000 @Z32 / Orquesta_1200 @Z39,2,4383.33333333333,,
MDP,trigo,Allegro_1000 @Z32 / Orquesta_1200 @Z39,3,4118.47545219638,,
MDP,trigo,Artea_500 @Z32 / Miravis_200 + Elatus_500 @Z39,1,4566.66666666667,,
MDP,trigo,Artea_500 @Z32 / Miravis_200 + Elatus_500 @Z39,2,4272.48062015504,,
MDP,trigo,Artea_500 @Z32 / Miravis_200 + Elatus_500 @Z39,3,4233.33333333333,,
MDP,trigo,Allegro_1000 @Z32 / Orquesta_1200 @Z39 / Starter_3000 @Z24,1,4147.74824658546,,
MDP,trigo,Allegro_1000 @Z32 / Orquesta_1200 @Z39 / Starter_3000 @Z24,2,4694.40753045404,,
MDP,trigo,Allegro_1000 @Z32 / Orquesta_1200 @Z39 / Starter_3000 @Z24,3,4705.63861203396,,
MDP,trigo,Taser_Xpert_400 @Z32 / Excalia_Max_700 @Z39,1,4756.10926541159,,
MDP,trigo,Taser_Xpert_400 @Z32 / Excalia_Max_700 @Z39,2,4591.66666666667,,
MDP,trigo,Taser_Xpert_400 @Z32 / Excalia_Max_700 @Z39,3,4041.02990033223,,
Tandil,cebada,Fidresa_900 @Z39,3,4950,,
Tandil,cebada,Fidresa_900 @Z39,1,5370,,
Tandil,cebada,Fidresa_900 @Z39,2,5636,,
Tandil,cebada,Cripton_Xpro_600 @Z39,3,5144,,
Tandil,cebada,Cripton_Xpro_600 @Z39,1,5376,,
Tandil,cebada,Cripton_Xpro_600 @Z39,2,5630,,
Tandil,cebada,Coverfull_Ace_500 @Z39,3,4660,,
Tandil,cebada,Coverfull_Ace_500 @Z39,2,5474,,
Tandil,cebada,Coverfull_Ace_500 @Z39,1,5908,,
Tandil,cebada,Goldleaf_2000 @Z39,2,4732,,
Tandil,cebada,Goldleaf_2000 @Z39,3,5015,,
Tandil,cebada,Goldleaf_2000 @Z39,1,5594,,
Tandil,cebada,Orquesta_1200 @Z39,1,4878,,
Tandil,cebada,Orquesta_1200 @Z39,2,4880,,
Tandil,cebada,Orquesta_1200 @Z39,3,5066,,
Tandil,cebada,Miravis_200 + Elatus_500 @Z39,3,4637,,
Tandil,cebada,Miravis_200 + Elatus_500 @Z39,2,5160,,
Tandil,cebada,Miravis_200 + Elatus_500 @Z39,1,5632,,
Tandil,cebada,Check,1,3836,,
Tandil,cebada,Check,3,3820,,
Tandil,cebada,Check,3,4096,,
Tandil,cebada,Check,2,4182,,
Tandil,cebada,Check,2,4770,,
Tandil,cebada,Check,3,4970,,
Tandil,cebada,Check,2,4974,,
Tandil,cebada,Check,1,5092,,
Tandil,cebada,Check,1,5992,,
Tandil,trigo,Fidresa_900 @Z39,1,4130,,
Tandil,trigo,Fidresa_900 @Z39,2,4850,,
Tandil,trigo,Fidresa_900 @Z39,3,3370,,
Tandil,trigo,Cripton_Xpro_600 @Z39,1,4562,,
Tandil,trigo,Cripton_Xpro_600 @Z39,2,4806,,
Tandil,trigo,Cripton_Xpro_600 @Z39,3,3680,,
Tandil,trigo,Coverfull_Ace_500 @Z39,1,4034,,
Tandil,trigo,Coverfull_Ace_500 @Z39,2,4592,,
Tandil,trigo,Coverfull_Ace_500 @Z39,3,3740,,
Tandil,trigo,Goldleaf_2000 @Z39,1,4020,,
Tandil,trigo,Goldleaf_2000 @Z39,2,4452,,
Tandil,trigo,Goldleaf_2000 @Z39,3,3664,,
Tandil,trigo,Orquesta_1200 @Z39,1,4690,,
Tandil,trigo,Orquesta_1200 @Z39,2,4424,,
Tandil,trigo,Orquesta_1200 @Z39,3,4496,,
Tandil,trigo,Miravis_200 + Elatus_500 @Z39,1,4938,,
Tandil,trigo,Miravis_200 + Elatus_500 @Z39,2,4516,,
Tandil,trigo,Miravis_200 + Elatus_500 @Z39,3,3522,,
Tandil,trigo,Excalia_Max_700 @Z39,1,4024,,
Tandil,trigo,Excalia_Max_700 @Z39,2,4874,,
Tandil,trigo,Excalia_Max_700 @Z39,3,3492,,
Tandil,trigo,Orquesta_1200 @Z39 / Starter_3000 @Z24,1,4752,,
Tandil,trigo,Orquesta_1200 @Z39 / Starter_3000 @Z24,2,4154,,
Tandil,trigo,Orquesta_1200 @Z39 / Starter_3000 @Z24,3,4460,,
Tandil,trigo,Check,1,4210,,
Tandil,trigo,Check,2,4805,,
Tandil,trigo,Check,3,4532,,
